Daemon Prince of Nurgle
Enemy Stats (T/SV/INV/W),Daemonic Axe,Hellforged Sword,Malefic Talons X2,
4/5/7/1,3.40278,4.05093,5.6713,
4/5/7/2,6.80556,8.10185,11.3426,
4/5/7/3,9.39815,11.3426,11.3426,
4/6/6/1,2.83565,3.37577,4.72608,
4/6/6/2,5.6713,6.75154,9.45216,
4/6/6/3,7.83179,9.45216,9.45216,
4/6/7/1,3.40278,4.05093,5.6713,
4/6/7/2,6.80556,8.10185,11.3426,
4/6/7/3,9.39815,11.3426,11.3426,
4/7/7/1,3.40278,4.05093,5.6713,
4/7/7/2,6.80556,8.10185,11.3426,
4/7/7/3,9.39815,11.3426,11.3426,
6/2/2/1,0.56713,0.675154,0.945216,
6/2/2/2,1.13426,1.35031,1.89043,
6/2/2/3,1.56636,1.89043,1.89043,
6/2/3/1,1.13426,1.35031,1.89043,
6/2/3/2,2.26852,2.70062,3.78086,
6/2/3/3,3.13272,3.78086,3.78086,
6/2/4/1,1.70139,2.02546,2.83565,
6/2/4/2,3.40278,4.05093,5.6713,
6/2/4/3,4.69907,5.6713,5.6713,
6/2/5/1,2.13349,2.02546,2.83565,
6/2/5/2,4.26698,4.05093,5.6713,
6/2/5/3,5.99537,5.6713,5.6713,
6/2/6/1,2.13349,2.02546,2.83565,
6/2/6/2,4.26698,4.05093,5.6713,
6/2/6/3,5.99537,5.6713,5.6713,
6/2/7/1,2.13349,2.02546,2.83565,
6/2/7/2,4.26698,4.05093,5.6713,
6/2/7/3,5.99537,5.6713,5.6713,
6/3/3/1,1.13426,1.35031,1.89043,
6/3/3/2,2.26852,2.70062,3.78086,
6/3/3/3,3.13272,3.78086,3.78086,
6/3/4/1,1.70139,2.02546,2.83565,
6/3/4/2,3.40278,4.05093,5.6713,
6/3/4/3,4.69907,5.6713,5.6713,
6/3/5/1,2.26852,2.70062,3.78086,
6/3/5/2,4.53704,5.40123,7.56173,
6/3/5/3,6.26543,7.56173,7.56173,
6/3/6/1,2.70062,2.70062,3.78086,
6/3/6/2,5.40123,5.40123,7.56173,
6/3/6/3,7.56173,7.56173,7.56173,
6/3/7/1,2.70062,2.70062,3.78086,
6/3/7/2,5.40123,5.40123,7.56173,
6/3/7/3,7.56173,7.56173,7.56173,
6/4/4/1,1.70139,2.02546,2.83565,
6/4/4/2,3.40278,4.05093,5.6713,
6/4/4/3,4.69907,5.6713,5.6713,
6/4/5/1,2.26852,2.70062,3.78086,
6/4/5/2,4.53704,5.40123,7.56173,
6/4/5/3,6.26543,7.56173,7.56173,
6/4/6/1,2.83565,3.37577,4.72608,
6/4/6/2,5.6713,6.75154,9.45216,
6/4/6/3,7.83179,9.45216,9.45216,
6/4/7/1,3.26775,3.37577,4.72608,
6/4/7/2,6.53549,6.75154,9.45216,
6/4/7/3,9.12809,9.45216,9.45216,
6/5/5/1,2.26852,2.70062,3.78086,
6/5/5/2,4.53704,5.40123,7.56173,
6/5/5/3,6.26543,7.56173,7.56173,
6/5/6/1,2.83565,3.37577,4.72608,
6/5/6/2,5.6713,6.75154,9.45216,
6/5/6/3,7.83179,9.45216,9.45216,
6/5/7/1,3.40278,4.05093,5.6713,
6/5/7/2,6.80556,8.10185,11.3426,
6/5/7/3,9.39815,11.3426,11.3426,
6/6/6/1,2.83565,3.37577,4.72608,
6/6/6/2,5.6713,6.75154,9.45216,
6/6/6/3,7.83179,9.45216,9.45216,
6/6/7/1,3.40278,4.05093,5.6713,
6/6/7/2,6.80556,8.10185,11.3426,
6/6/7/3,9.39815,11.3426,11.3426,
6/7/7/1,3.40278,4.05093,5.6713,
6/7/7/2,6.80556,8.10185,11.3426,
6/7/7/3,9.39815,11.3426,11.3426,
8/2/2/1,0.56713,0.675154,0.945216,
8/2/2/2,1.13426,1.35031,1.89043,
